Training with argumentation
Images min: 0.16470588743686676 Images max: 0.8666666746139526
Mask min: 0.0 Mask max: 1.0

==================================================
Trainer Configuration
==================================================
{   'Best Validation Loss': inf,
    'Device': device(type='cuda'),
    'Learning Rate': 0.001,
    'Loss Function': 'BCELoss()',
    'Loss Save Path': '/home/crackscope/Road-Anomaly-Detector/road_anomaly_detector/main/model/model_files/HED_forest_lr0001_b4_p20_e500_bce/loss_plot.png',
    'Model Save Path': '/home/crackscope/Road-Anomaly-Detector/road_anomaly_detector/main/model/model_files/HED_forest_lr0001_b4_p20_e500_bce/model.pth',
    'Number of Epochs': 500,
    'Optimizer': 'Adam (\n'
                 'Parameter Group 0\n'
                 '    amsgrad: False\n'
                 '    betas: (0.9, 0.999)\n'
                 '    capturable: False\n'
                 '    differentiable: False\n'
                 '    eps: 1e-08\n'
                 '    foreach: None\n'
                 '    fused: None\n'
                 '    lr: 0.001\n'
                 '    maximize: False\n'
                 '    weight_decay: 0\n'
                 ')',
    'Patience': 20}
==================================================

Epoch [1/500], Train Loss: 0.2302, Val Loss: 0.1193
Model improved
Epoch [2/500], Train Loss: 0.1224, Val Loss: 0.1066
Model improved
Epoch [3/500], Train Loss: 0.1151, Val Loss: 0.1197
No improvement in validation loss for 1 epochs.
Epoch [4/500], Train Loss: 0.1139, Val Loss: 0.3957
No improvement in validation loss for 2 epochs.
Epoch [5/500], Train Loss: 0.1039, Val Loss: 0.1128
No improvement in validation loss for 3 epochs.
Epoch [6/500], Train Loss: 0.0960, Val Loss: 0.0784
Model improved
Epoch [7/500], Train Loss: 0.0973, Val Loss: 0.0625
Model improved
Epoch [8/500], Train Loss: 0.0917, Val Loss: 0.1508
No improvement in validation loss for 1 epochs.
Epoch [9/500], Train Loss: 0.0911, Val Loss: 0.1252
No improvement in validation loss for 2 epochs.
Epoch [10/500], Train Loss: 0.0942, Val Loss: 0.0656
No improvement in validation loss for 3 epochs.
Epoch [11/500], Train Loss: 0.0910, Val Loss: 0.1946
No improvement in validation loss for 4 epochs.
Epoch [12/500], Train Loss: 0.0906, Val Loss: 0.1632
No improvement in validation loss for 5 epochs.
Epoch [13/500], Train Loss: 0.0837, Val Loss: 0.0565
Model improved
Epoch [14/500], Train Loss: 0.0920, Val Loss: 0.1896
No improvement in validation loss for 1 epochs.
Epoch [15/500], Train Loss: 0.0892, Val Loss: 0.0692
No improvement in validation loss for 2 epochs.
Epoch [16/500], Train Loss: 0.0832, Val Loss: 0.0626
No improvement in validation loss for 3 epochs.
Epoch [17/500], Train Loss: 0.0817, Val Loss: 0.1183
No improvement in validation loss for 4 epochs.
Epoch [18/500], Train Loss: 0.0811, Val Loss: 0.0685
No improvement in validation loss for 5 epochs.
Epoch [19/500], Train Loss: 0.0782, Val Loss: 0.0578
No improvement in validation loss for 6 epochs.
Epoch [20/500], Train Loss: 0.0803, Val Loss: 0.0519
Model improved
Epoch [21/500], Train Loss: 0.0782, Val Loss: 0.0626
No improvement in validation loss for 1 epochs.
Epoch [22/500], Train Loss: 0.0756, Val Loss: 0.0553
No improvement in validation loss for 2 epochs.
Epoch [23/500], Train Loss: 0.0754, Val Loss: 0.0644
No improvement in validation loss for 3 epochs.
Epoch [24/500], Train Loss: 0.0729, Val Loss: 0.0547
No improvement in validation loss for 4 epochs.
